number,season,episode,airdate,title,tvmaze link
# Linea de comentario
1,1,1,17 Dec 89,"Simpsons Roasting on an Open Fire","https://www.tvmaze.com/episodes/4998/the-simpsons-1x01-simpsons-roasting-on-an-open-fire"
2,1,2,14 Jan 90,"Bart the Genius","https://www.tvmaze.com/episodes/4999/the-simpsons-1x02-bart-the-genius"
3,1,3,21 Jan 90,"Homer's Odyssey","https://www.tvmaze.com/episodes/5000/the-simpsons-1x03-homers-odyssey"
4,1,4,28 Jan 90,"There's No Disgrace Like Home","https://www.tvmaze.com/episodes/5001/the-simpsons-1x04-theres-no-disgrace-like-home"
5,1,5,04 Feb 90,"Bart the General","https://www.tvmaze.com/episodes/5002/the-simpsons-1x05-bart-the-general"
6,1,6,11 Feb 90,"Moaning Lisa","https://www.tvmaze.com/episodes/5003/the-simpsons-1x06-moaning-lisa"
7,1,7,18 Feb 90,"The Call of the Simpsons","https://www.tvmaze.com/episodes/5004/the-simpsons-1x07-the-call-of-the-simpsons"
8,1,8,25 Feb 90,"The Telltale Head","https://www.tvmaze.com/episodes/5005/the-simpsons-1x08-the-telltale-head"
9,1,9,18 Mar 90,"Life on the Fast Lane","https://www.tvmaze.com/episodes/5006/the-simpsons-1x09-life-on-the-fast-lane"
10,1,10,25 Mar 90,"Homer's Night Out","https://www.tvmaze.com/episodes/5007/the-simpsons-1x10-homers-night-out"
11,1,11,15 Apr 90,"The Crepes of Wrath","https://www.tvmaze.com/episodes/5008/the-simpsons-1x11-the-crepes-of-wrath"
12,1,12,29 Apr 90,"Krusty Gets Busted","https://www.tvmaze.com/episodes/5009/the-simpsons-1x12-krusty-gets-busted"
13,1,13,13 May 90,"Some Enchanted Evening","https://www.tvmaze.com/episodes/5010/the-simpsons-1x13-some-enchanted-evening"
14,2,1,11 Oct 90,"Bart Gets an F","https://www.tvmaze.com/episodes/5011/the-simpsons-2x01-bart-gets-an-f"
15,2,2,18 Oct 90,"Simpson and Delilah","https://www.tvmaze.com/episodes/5012/the-simpsons-2x02-simpson-and-delilah"
16,2,3,25 Oct 90,"Treehouse of Horror","https://www.tvmaze.com/episodes/5013/the-simpsons-2x03-treehouse-of-horror"
17,2,4,01 Nov 90,"Two Cars in Every Garage and Three Eyes on Every Fish","https://www.tvmaze.com/episodes/5014/the-simpsons-2x04-two-cars-in-every-garage-and-three-eyes-on-every-fish"
18,2,5,08 Nov 90,"Dancin' Homer","https://www.tvmaze.com/episodes/5015/the-simpsons-2x05-dancin-homer"
19,2,6,15 Nov 90,"Dead Putting Society","https://www.tvmaze.com/episodes/5016/the-simpsons-2x06-dead-putting-society"
20,2,7,22 Nov 90,"Bart vs. Thanksgiving","https://www.tvmaze.com/episodes/5017/the-simpsons-2x07-bart-vs-thanksgiving"
21,2,8,06 Dec 90,"Bart the Daredevil","https://www.tvmaze.com/episodes/5018/the-simpsons-2x08-bart-the-daredevil"
22,2,9,20 Dec 90,"Itchy &amp; Scratchy &amp; Marge","https://www.tvmaze.com/episodes/5019/the-simpsons-2x09-itchy-amp-scratchy-amp-marge"
23,2,10,10 Jan 91,"Bart Gets Hit by a Car","https://www.tvmaze.com/episodes/5020/the-simpsons-2x10-bart-gets-hit-by-a-car"
24,2,11,24 Jan 91,"One Fish, Two Fish, Blowfish, Blue Fish","https://www.tvmaze.com/episodes/5021/the-simpsons-2x11-one-fish-two-fish-blowfish-blue-fish"
25,2,12,31 Jan 91,"The Way We Was","https://www.tvmaze.com/episodes/5022/the-simpsons-2x12-the-way-we-was"
26,2,13,07 Feb 91,"Homer vs. Lisa and the Eighth Commandment","https://www.tvmaze.com/episodes/5023/the-simpsons-2x13-homer-vs-lisa-and-the-eighth-commandment"
27,2,14,14 Feb 91,"Principal Charming","https://www.tvmaze.com/episodes/5024/the-simpsons-2x14-principal-charming"
28,2,15,21 Feb 91,"Oh Brother, Where Art Thou?","https://www.tvmaze.com/episodes/5025/the-simpsons-2x15-oh-brother-where-art-thou"
29,2,16,07 Mar 91,"Bart's Dog Gets an F","https://www.tvmaze.com/episodes/5026/the-simpsons-2x16-barts-dog-gets-an-f"
30,2,17,28 Mar 91,"Old Money","https://www.tvmaze.com/episodes/5027/the-simpsons-2x17-old-money"
31,2,18,11 Apr 91,"Brush with Greatness","https://www.tvmaze.com/episodes/5028/the-simpsons-2x18-brush-with-greatness"
32,2,19,25 Apr 91,"Lisa's Substitute","https://www.tvmaze.com/episodes/5029/the-simpsons-2x19-lisas-substitute"
33,2,20,02 May 91,"The War of the Simpsons","https://www.tvmaze.com/episodes/5030/the-simpsons-2x20-the-war-of-the-simpsons"
34,2,21,09 May 91,"Three Men and a Comic Book","https://www.tvmaze.com/episodes/5031/the-simpsons-2x21-three-men-and-a-comic-book"
35,2,22,11 Jul 91,"Blood Feud","https://www.tvmaze.com/episodes/5032/the-simpsons-2x22-blood-feud"
36,3,1,19 Sep 91,"Stark Raving Dad","https://www.tvmaze.com/episodes/5033/the-simpsons-3x01-stark-raving-dad"
37,3,2,26 Sep 91,"Mr. Lisa Goes to Washington","https://www.tvmaze.com/episodes/5034/the-simpsons-3x02-mr-lisa-goes-to-washington"
